j,f_j [d=9],f_j [d=7],f_j [d=5],f_j [d=3]
1,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2,0.00E+00,0.00E+00,0.00E+00,2.56E-01
3,0.00E+00,0.00E+00,1.32E-02,5.14E-01
4,0.00E+00,3.47E-04,5.33E-02,6.58E-01
5,7.00E-06,1.98E-03,1.26E-01,7.21E-01
6,4.57E-05,6.51E-03,2.25E-01,7.47E-01
7,1.74E-04,1.61E-02,3.34E-01,7.56E-01
8,5.24E-04,3.28E-02,4.37E-01,7.55E-01
9,1.33E-03,5.88E-02,5.24E-01,7.51E-01
10,2.89E-03,9.50E-02,5.92E-01,7.47E-01
11,5.65E-03,1.41E-01,6.42E-01,7.47E-01
12,1.01E-02,1.96E-01,6.78E-01,7.52E-01
13,1.69E-02,2.56E-01,7.03E-01,7.63E-01
14,2.66E-02,3.18E-01,7.21E-01,
15,3.99E-02,3.80E-01,7.32E-01,
16,5.73E-02,4.39E-01,7.40E-01,
17,7.92E-02,4.92E-01,7.44E-01,
18,1.06E-01,5.39E-01,7.47E-01,
19,1.36E-01,5.79E-01,7.49E-01,
20,1.71E-01,6.13E-01,7.50E-01,
21,2.09E-01,6.42E-01,7.50E-01,
22,2.49E-01,6.65E-01,7.50E-01,
23,2.91E-01,6.83E-01,7.50E-01,
24,3.33E-01,6.98E-01,7.50E-01,
25,3.75E-01,7.11E-01,7.50E-01,
26,4.15E-01,7.20E-01,7.50E-01,
27,4.53E-01,7.28E-01,7.50E-01,
28,4.89E-01,7.33E-01,7.50E-01,
29,5.22E-01,7.38E-01,7.50E-01,
30,5.52E-01,7.41E-01,7.50E-01,
31,5.79E-01,7.44E-01,7.50E-01,
32,6.03E-01,7.45E-01,7.50E-01,
33,6.25E-01,7.47E-01,7.50E-01,
34,6.43E-01,7.48E-01,7.50E-01,
35,6.60E-01,7.48E-01,7.50E-01,
36,6.74E-01,7.49E-01,7.50E-01,
37,6.86E-01,7.49E-01,7.50E-01,
38,6.97E-01,7.50E-01,7.50E-01,
39,7.06E-01,7.50E-01,7.50E-01,
40,7.13E-01,7.50E-01,7.51E-01,
41,7.20E-01,7.50E-01,7.51E-01,
42,7.25E-01,7.50E-01,,
43,7.30E-01,7.50E-01,,
44,7.33E-01,7.50E-01,,
45,7.37E-01,7.50E-01,,
46,7.39E-01,7.50E-01,,
47,7.41E-01,7.50E-01,,
48,7.43E-01,7.50E-01,,
49,7.45E-01,7.50E-01,,
50,7.46E-01,7.50E-01,,
51,7.46E-01,7.50E-01,,
52,7.47E-01,7.50E-01,,
53,7.48E-01,7.50E-01,,
54,7.48E-01,7.50E-01,,
55,7.49E-01,7.50E-01,,
56,7.49E-01,7.50E-01,,
57,7.49E-01,7.50E-01,,
58,7.50E-01,7.50E-01,,
59,7.50E-01,7.50E-01,,
60,7.50E-01,7.50E-01,,
61,7.50E-01,7.50E-01,,
62,7.50E-01,7.50E-01,,
63,7.50E-01,7.50E-01,,
64,7.50E-01,7.50E-01,,
65,7.50E-01,7.50E-01,,
66,7.50E-01,7.50E-01,,
67,7.50E-01,7.50E-01,,
68,7.50E-01,7.50E-01,,
69,7.50E-01,7.50E-01,,
70,7.50E-01,7.50E-01,,
71,7.50E-01,7.50E-01,,
72,7.50E-01,7.50E-01,,
73,7.50E-01,7.50E-01,,
74,7.50E-01,7.50E-01,,
75,7.50E-01,7.50E-01,,
76,7.50E-01,7.50E-01,,
77,7.50E-01,7.50E-01,,
78,7.50E-01,7.50E-01,,
79,7.50E-01,7.50E-01,,
80,7.50E-01,7.50E-01,,
81,7.50E-01,7.50E-01,,
82,7.50E-01,7.50E-01,,
83,7.50E-01,7.50E-01,,
84,7.50E-01,7.50E-01,,
85,7.50E-01,7.50E-01,,
86,7.50E-01,,,
87,7.50E-01,,,
88,7.50E-01,,,
89,7.50E-01,,,
90,7.50E-01,,,
91,7.50E-01,,,
92,7.50E-01,,,
93,7.50E-01,,,
94,7.50E-01,,,
95,7.50E-01,,,
96,7.50E-01,,,
97,7.50E-01,,,
98,7.50E-01,,,
99,7.50E-01,,,
100,7.50E-01,,,
101,7.50E-01,,,
102,7.50E-01,,,
103,7.50E-01,,,
104,7.50E-01,,,
105,7.50E-01,,,
106,7.50E-01,,,
107,7.50E-01,,,
108,7.50E-01,,,
109,7.50E-01,,,
110,7.50E-01,,,
111,7.50E-01,,,
112,7.50E-01,,,
113,7.50E-01,,,
114,7.50E-01,,,
115,7.50E-01,,,
116,7.50E-01,,,
117,7.50E-01,,,
118,7.50E-01,,,
119,7.50E-01,,,
120,7.50E-01,,,
121,7.50E-01,,,
122,7.50E-01,,,
123,7.50E-01,,,
124,7.50E-01,,,
125,7.50E-01,,,
126,7.50E-01,,,
127,7.50E-01,,,
128,7.50E-01,,,
129,7.50E-01,,,
130,7.50E-01,,,
131,7.50E-01,,,
132,7.50E-01,,,
133,7.50E-01,,,
134,7.50E-01,,,
135,7.50E-01,,,
136,7.50E-01,,,
137,7.50E-01,,,
138,7.50E-01,,,
139,7.50E-01,,,
140,7.50E-01,,,
141,7.50E-01,,,
142,7.50E-01,,,
143,7.50E-01,,,
144,7.50E-01,,,
145,7.50E-01,,,
